DATETIME,price
2013-07-29,2.626
2013-07-30,2.646
2013-07-31,2.657
2013-08-01,2.643
2013-08-02,2.578
2013-08-05,2.63
2013-08-06,2.591
2013-08-07,2.574
2013-08-08,2.586
2013-08-09,2.616
2013-08-12,2.659
2013-08-13,2.675
2013-08-14,2.64
2013-08-15,2.68
2013-08-16,2.712
2013-08-19,2.737
2013-08-20,2.705
2013-08-21,2.724
2013-08-22,2.714
2013-08-23,2.733
2013-08-26,2.772
2013-08-27,2.779
2013-08-28,2.827
2013-08-29,2.796
2013-08-30,2.787
2013-09-02,2.767
2013-09-03,2.762
2013-09-04,2.787
2013-09-05,2.751
2013-09-06,2.725
2013-09-09,2.756
2013-09-10,2.742
2013-09-11,2.722
2013-09-12,2.682
2013-09-13,2.622
2013-09-16,2.631
2013-09-17,2.609
2013-09-18,2.589
2013-09-23,2.629
2013-09-24,2.622
2013-09-25,2.629
2013-09-26,2.632
2013-09-27,2.622
2013-09-30,2.649
2013-10-08,2.63
2013-10-09,2.615
2013-10-10,2.595
2013-10-11,2.569
2013-10-14,2.543
2013-10-15,2.533
2013-10-16,2.549
2013-10-17,2.531
2013-10-18,2.605
2013-10-21,2.608
2013-10-22,2.595
2013-10-23,2.624
2013-10-24,2.624
2013-10-25,2.619
2013-10-28,2.626
2013-10-29,2.639
2013-10-30,2.631
2013-10-31,2.613
2013-11-01,2.602
2013-11-04,2.584
2013-11-05,2.582
2013-11-06,2.578
2013-11-07,2.589
2013-11-08,2.573
2013-11-11,2.529
2013-11-12,2.517
2013-11-13,2.501
2013-11-14,2.516
2013-11-15,2.526
2013-11-18,2.527
2013-11-19,2.501
2013-11-20,2.508
2013-11-21,2.463
2013-11-22,2.458
2013-11-25,2.437
2013-11-26,2.465
2013-11-27,2.453
2013-11-28,2.44
2013-11-29,2.443
2013-12-02,2.45
2013-12-03,2.411
2013-12-04,2.408
2013-12-05,2.429
2013-12-06,2.418
2013-12-09,2.425
2013-12-10,2.445
2013-12-11,2.462
2013-12-12,2.45
2013-12-13,2.41
2013-12-16,2.411
2013-12-17,2.438
2013-12-18,2.419
2013-12-19,2.4
2013-12-20,2.342
2013-12-23,2.366
2013-12-24,2.366
2013-12-25,2.376
2013-12-26,2.377
2013-12-27,2.401
2013-12-30,2.377
2013-12-31,2.376
2014-01-02,2.403
2014-01-03,2.424
2014-01-06,2.435
2014-01-07,2.442
2014-01-08,2.411
2014-01-09,2.412
2014-01-10,2.428
2014-01-13,2.448
2014-01-14,2.455
2014-01-15,2.434
2014-01-16,2.437
2014-01-17,2.435
2014-01-20,2.459
2014-01-21,2.451
2014-01-22,2.432
2014-01-23,2.426
2014-01-24,2.46
2014-01-27,2.476
2014-01-28,2.463
2014-01-29,2.455
2014-01-30,2.461
2014-02-07,2.48
2014-02-10,2.501
2014-02-11,2.515
2014-02-12,2.521
2014-02-13,2.517
2014-02-14,2.552
2014-02-17,2.596
2014-02-18,2.57
2014-02-19,2.575
2014-02-20,2.566
2014-02-21,2.582
2014-02-24,2.599
2014-02-25,2.612
2014-02-26,2.651
2014-02-27,2.602
2014-02-28,2.621
2014-03-03,2.651
2014-03-04,2.643
2014-03-05,2.624
2014-03-06,2.623
2014-03-07,2.649
2014-03-10,2.61
2014-03-11,2.641
2014-03-12,2.668
2014-03-13,2.694
