DATETIME,price
2016-07-22,0.987
2016-07-25,0.978
2016-07-26,0.995
2016-07-27,0.94
2016-07-28,0.933
2016-07-29,0.925
2016-08-01,0.912
2016-08-02,0.921
2016-08-03,0.915
2016-08-04,0.926
2016-08-05,0.916
2016-08-08,0.924
2016-08-09,0.933
2016-08-10,0.928
2016-08-11,0.916
2016-08-12,0.918
2016-08-15,0.955
2016-08-16,0.964
2016-08-17,0.96
2016-08-18,0.959
2016-08-19,0.959
2016-08-22,0.94
2016-08-23,0.941
2016-08-24,0.951
2016-08-25,0.94
2016-08-26,0.944
2016-08-29,0.948
2016-08-30,0.953
2016-08-31,0.949
2016-09-01,0.943
2016-09-02,0.943
2016-09-05,0.944
2016-09-06,0.958
2016-09-07,0.955
2016-09-08,0.96
2016-09-09,0.948
2016-09-12,0.925
2016-09-13,0.918
2016-09-14,0.917
2016-09-19,0.927
2016-09-20,0.924
2016-09-21,0.924
2016-09-22,0.927
2016-09-23,0.918
2016-09-26,0.912
2016-09-27,0.912
2016-09-28,0.909
2016-09-29,0.91
2016-09-30,0.912
2016-10-10,0.938
2016-10-11,0.937
2016-10-12,0.937
2016-10-13,0.937
2016-10-14,0.93
2016-10-17,0.922
2016-10-18,0.933
2016-10-19,0.929
2016-10-20,0.93
2016-10-21,0.926
2016-10-24,0.936
2016-10-25,0.936
2016-10-26,0.931
2016-10-27,0.931
2016-10-28,0.924
2016-10-31,0.923
2016-11-01,0.927
2016-11-02,0.912
2016-11-03,0.915
2016-11-04,0.915
2016-11-07,0.904
2016-11-08,0.913
2016-11-09,0.9
2016-11-10,0.908
2016-11-11,0.912
2016-11-14,0.92
2016-11-15,0.928
2016-11-16,0.929
2016-11-17,0.919
2016-11-18,0.914
2016-11-21,0.912
2016-11-22,0.926
2016-11-23,0.922
2016-11-24,0.913
2016-11-25,0.923
2016-11-28,0.921
2016-11-29,0.924
2016-11-30,0.935
2016-12-01,0.932
2016-12-02,0.917
2016-12-05,0.914
2016-12-06,0.899
2016-12-07,0.903
2016-12-08,0.893
2016-12-09,0.886
2016-12-12,0.832
2016-12-13,0.834
2016-12-14,0.826
2016-12-15,0.831
2016-12-16,0.841
2016-12-19,0.834
2016-12-20,0.836
2016-12-21,0.837
2016-12-22,0.835
2016-12-23,0.824
2016-12-26,0.824
2016-12-27,0.823
2016-12-28,0.817
2016-12-29,0.813
2016-12-30,0.817
2017-01-03,0.818
2017-01-04,0.838
2017-01-05,0.835
2017-01-06,0.823
2017-01-09,0.822
2017-01-10,0.82
2017-01-11,0.814
2017-01-12,0.809
2017-01-13,0.791
2017-01-16,0.753
2017-01-17,0.776
2017-01-18,0.766
2017-01-19,0.767
2017-01-20,0.784
2017-01-23,0.786
2017-01-24,0.771
2017-01-25,0.774
2017-01-26,0.78
2017-02-03,0.777
2017-02-06,0.788
2017-02-07,0.781
2017-02-08,0.788
2017-02-09,0.794
2017-02-10,0.79
2017-02-13,0.796
2017-02-14,0.795
2017-02-15,0.785
2017-02-16,0.787
2017-02-17,0.782
2017-02-20,0.785
2017-02-21,0.797
2017-02-22,0.798
2017-02-23,0.799
2017-02-24,0.804
2017-02-27,0.801
2017-02-28,0.8
2017-03-01,0.801
2017-03-02,0.795
2017-03-03,0.796
2017-03-06,0.81
2017-03-07,0.815
2017-03-08,0.81
2017-03-09,0.808
2017-03-10,0.805
2017-03-13,0.813
2017-03-14,0.806
2017-03-15,0.808
2017-03-16,0.811
2017-03-17,0.805
2017-03-20,0.805
2017-03-21,0.807
2017-03-22,0.796
2017-03-23,0.795
2017-03-24,0.802
2017-03-27,0.796
2017-03-28,0.794
2017-03-29,0.787
2017-03-30,0.768
2017-03-31,0.774
2017-04-05,0.79
2017-04-06,0.791
2017-04-07,0.791
2017-04-10,0.775
2017-04-11,0.775
2017-04-12,0.765
2017-04-13,0.774
2017-04-14,0.763
2017-04-17,0.756
2017-04-18,0.742
2017-04-19,0.744
2017-04-20,0.742
2017-04-21,0.738
2017-04-24,0.722
2017-04-25,0.727
2017-04-26,0.724
2017-04-27,0.733
2017-04-28,0.738
2017-05-02,0.736
2017-05-03,0.736
2017-05-04,0.736
2017-05-05,0.728
2017-05-08,0.72
2017-05-09,0.725
2017-05-10,0.718
2017-05-11,0.714
2017-05-12,0.715
2017-05-15,0.715
2017-05-16,0.727
2017-05-17,0.732
2017-05-18,0.73
2017-05-19,0.724
2017-05-22,0.719
2017-05-23,0.706
2017-05-24,0.709
2017-05-25,0.713
2017-05-26,0.707
2017-05-31,0.707
2017-06-01,0.694
2017-06-02,0.703
2017-06-05,0.71
2017-06-06,0.711
2017-06-07,0.724
2017-06-08,0.724
2017-06-09,0.723
2017-06-12,0.714
2017-06-13,0.723
2017-06-14,0.724
2017-06-15,0.738
2017-06-16,0.736
2017-06-19,0.736
2017-06-20,0.74
2017-06-21,0.739
2017-06-22,0.728
2017-06-23,0.729
2017-06-26,0.733
2017-06-27,0.732
2017-06-28,0.726
2017-06-29,0.728
2017-06-30,0.731
2017-07-03,0.74
2017-07-04,0.734
2017-07-05,0.74
2017-07-06,0.737
2017-07-07,0.734
2017-07-10,0.719
2017-07-11,0.709
2017-07-12,0.706
2017-07-13,0.7
2017-07-14,0.691
2017-07-17,0.651
2017-07-18,0.656
2017-07-19,0.66
2017-07-20,0.66
2017-07-21,0.659
2017-07-24,0.661
2017-07-25,0.663
2017-07-26,0.66
2017-07-27,0.692
