DATETIME,price
2019-10-28,0.967
2019-10-29,0.954
2019-10-30,0.945
2019-10-31,0.947
2019-11-01,0.951
2019-11-04,0.961
2019-11-05,0.972
2019-11-06,0.973
2019-11-07,0.982
2019-11-08,0.993
2019-11-11,0.977
2019-11-12,0.979
2019-11-13,0.99
2019-11-14,0.994
2019-11-15,1.009
2019-11-18,1.016
2019-11-19,1.04
2019-11-20,1.039
2019-11-21,1.042
2019-11-22,1.032
2019-11-25,1.003
2019-11-26,0.999
2019-11-27,0.999
2019-11-28,0.998
2019-11-29,0.985
2019-12-02,0.981
2019-12-03,0.983
2019-12-04,0.984
2019-12-05,1.005
2019-12-06,1.02
2019-12-09,1.023
2019-12-10,1.038
2019-12-11,1.031
2019-12-12,1.026
2019-12-13,1.04
2019-12-16,1.061
2019-12-17,1.079
2019-12-18,1.084
2019-12-19,1.081
2019-12-20,1.062
2019-12-23,1.046
2019-12-24,1.061
2019-12-25,1.085
2019-12-26,1.116
2019-12-27,1.099
2019-12-30,1.11
2019-12-31,1.115
2020-01-02,1.152
2020-01-03,1.17
2020-01-06,1.21
2020-01-07,1.258
2020-01-08,1.237
2020-01-09,1.259
2020-01-10,1.249
2020-01-13,1.261
2020-01-14,1.276
2020-01-15,1.269
2020-01-16,1.258
2020-01-17,1.271
2020-01-20,1.307
2020-01-21,1.274
2020-01-22,1.313
2020-01-23,1.286
2020-02-03,1.157
2020-02-04,1.229
2020-02-05,1.272
2020-02-06,1.292
2020-02-07,1.287
2020-02-10,1.327
2020-02-11,1.315
2020-02-12,1.343
2020-02-13,1.365
2020-02-14,1.354
2020-02-17,1.397
2020-02-18,1.404
2020-02-19,1.351
2020-02-20,1.364
2020-02-21,1.356
2020-02-24,1.333
2020-02-25,1.357
2020-02-26,1.289
2020-02-27,1.268
2020-02-28,1.202
2020-03-02,1.237
2020-03-03,1.25
2020-03-04,1.231
2020-03-05,1.23
2020-03-06,1.201
2020-03-09,1.142
2020-03-10,1.169
2020-03-11,1.127
2020-03-12,1.103
2020-03-13,1.096
2020-03-16,1.045
2020-03-17,1.045
2020-03-18,1.04
2020-03-19,1.057
2020-03-20,1.077
2020-03-23,1.042
2020-03-24,1.05
2020-03-25,1.095
2020-03-26,1.084
2020-03-27,1.073
2020-03-30,1.047
2020-03-31,1.041
2020-04-01,1.041
2020-04-02,1.061
2020-04-03,1.05
2020-04-07,1.074
2020-04-08,1.076
2020-04-09,1.079
2020-04-10,1.056
2020-04-13,1.036
2020-04-14,1.063
2020-04-15,1.056
2020-04-16,1.059
2020-04-17,1.075
2020-04-20,1.088
2020-04-21,1.078
2020-04-22,1.087
2020-04-23,1.086
2020-04-24,1.077
2020-04-27,1.085
