DATETIME,price
2019-06-14,0.894
2019-06-17,0.846
2019-06-18,0.832
2019-06-19,0.832
2019-06-20,0.84
2019-06-21,0.841
2019-06-24,0.836
2019-06-25,0.82
2019-06-26,0.822
2019-06-27,0.827
2019-06-28,0.826
2019-07-01,0.843
2019-07-02,0.846
2019-07-03,0.842
2019-07-04,0.842
2019-07-05,0.85
2019-07-08,0.837
2019-07-09,0.84
2019-07-10,0.836
2019-07-11,0.84
2019-07-12,0.843
2019-07-15,0.849
2019-07-16,0.853
2019-07-17,0.857
2019-07-18,0.85
2019-07-19,0.854
2019-07-22,0.848
2019-07-23,0.856
2019-07-24,0.87
2019-07-25,0.876
2019-07-26,0.885
2019-07-29,0.892
2019-07-30,0.897
2019-07-31,0.895
2019-08-01,0.891
2019-08-02,0.885
2019-08-05,0.875
2019-08-06,0.869
2019-08-07,0.875
2019-08-08,0.88
2019-08-09,0.88
2019-08-12,0.888
2019-08-13,0.887
2019-08-14,0.9
2019-08-15,0.903
2019-08-16,0.914
2019-08-19,0.942
2019-08-20,0.943
2019-08-21,0.945
2019-08-22,0.948
2019-08-23,0.946
2019-08-26,0.941
2019-08-27,0.96
2019-08-28,0.953
2019-08-29,0.951
2019-08-30,0.952
2019-09-02,0.967
2019-09-03,0.972
2019-09-04,0.984
2019-09-05,0.993
2019-09-06,0.995
2019-09-09,1.011
2019-09-10,1.021
2019-09-11,1.019
2019-09-12,1.023
2019-09-16,1.025
2019-09-17,1.007
2019-09-18,1.008
2019-09-19,1.019
2019-09-20,1.028
2019-09-23,1.033
2019-09-24,1.048
2019-09-25,1.04
2019-09-26,1.013
2019-09-27,1.02
2019-09-30,1.016
2019-10-08,1.002
2019-10-09,0.997
2019-10-10,1.013
2019-10-11,1.005
2019-10-14,1.012
2019-10-15,0.999
2019-10-16,0.993
2019-10-17,0.996
2019-10-18,0.99
2019-10-21,0.987
2019-10-22,0.995
2019-10-23,0.992
2019-10-24,0.985
2019-10-25,0.994
2019-10-28,1.016
2019-10-29,1.006
2019-10-30,1.013
2019-10-31,1.013
2019-11-01,1.019
2019-11-04,1.031
2019-11-05,1.048
2019-11-06,1.047
2019-11-07,1.042
2019-11-08,1.042
2019-11-11,1.032
2019-11-12,1.025
2019-11-13,1.026
2019-11-14,1.036
