DATETIME,price
2013-01-16,2.574
2013-01-17,2.549
2013-01-18,2.591
2013-01-21,2.598
2013-01-22,2.59
2013-01-23,2.6
2013-01-24,2.588
2013-01-25,2.57
2013-01-28,2.642
2013-01-29,2.666
2013-01-30,2.689
2013-01-31,2.684
2013-02-01,2.739
2013-02-04,2.744
2013-02-05,2.769
2013-02-06,2.777
2013-02-07,2.766
2013-02-08,2.776
2013-02-18,2.743
2013-02-19,2.69
2013-02-20,2.703
2013-02-21,2.609
2013-02-22,2.601
2013-02-25,2.608
2013-02-26,2.562
2013-02-27,2.585
2013-02-28,2.669
2013-03-01,2.67
2013-03-04,2.549
2013-03-05,2.619
2013-03-06,2.649
2013-03-07,2.62
2013-03-08,2.609
2013-03-11,2.591
2013-03-12,2.553
2013-03-13,2.527
2013-03-14,2.531
2013-03-15,2.54
2013-03-18,2.506
2013-03-19,2.525
2013-03-20,2.605
2013-03-21,2.609
2013-03-22,2.617
2013-03-25,2.611
2013-03-26,2.571
2013-03-27,2.581
2013-03-28,2.498
2013-03-29,2.494
2013-04-01,2.491
2013-04-02,2.488
2013-04-03,2.485
2013-04-08,2.469
2013-04-09,2.487
2013-04-10,2.486
2013-04-11,2.475
2013-04-12,2.465
2013-04-15,2.439
2013-04-16,2.455
2013-04-17,2.457
2013-04-18,2.464
2013-04-19,2.532
2013-04-22,2.53
2013-04-23,2.453
2013-04-24,2.492
2013-04-25,2.467
2013-04-26,2.446
2013-05-02,2.448
2013-05-03,2.491
2013-05-06,2.52
2013-05-07,2.527
2013-05-08,2.542
2013-05-09,2.526
2013-05-10,2.54
2013-05-13,2.53
2013-05-14,2.493
2013-05-15,2.506
2013-05-16,2.549
2013-05-17,2.596
2013-05-20,2.614
2013-05-21,2.616
2013-05-22,2.617
2013-05-23,2.588
2013-05-24,2.599
2013-05-27,2.601
2013-05-28,2.652
2013-05-29,2.652
2013-05-30,2.644
2013-05-31,2.613
2013-06-03,2.616
2013-06-04,2.578
2013-06-05,2.573
2013-06-06,2.542
2013-06-07,2.504
2013-06-13,2.424
2013-06-14,2.44
2013-06-17,2.427
2013-06-18,2.441
2013-06-19,2.425
2013-06-20,2.346
2013-06-21,2.339
2013-06-24,2.191
2013-06-25,2.192
2013-06-26,2.193
2013-06-27,2.194
2013-06-28,2.22
2013-07-01,2.238
2013-07-02,2.244
2013-07-03,2.238
2013-07-04,2.252
2013-07-05,2.256
2013-07-08,2.206
2013-07-09,2.198
2013-07-10,2.254
2013-07-11,2.368
2013-07-12,2.319
2013-07-15,2.343
2013-07-16,2.365
2013-07-17,2.329
2013-07-18,2.295
2013-07-19,2.233
2013-07-22,2.242
2013-07-23,2.309
2013-07-24,2.296
2013-07-25,2.287
2013-07-26,2.274
2013-07-29,2.222
2013-07-30,2.236
2013-07-31,2.241
2013-08-01,2.3
2013-08-02,2.3
2013-08-05,2.331
2013-08-06,2.345
2013-08-07,2.331
2013-08-08,2.33
2013-08-09,2.339
2013-08-12,2.412
2013-08-13,2.413
2013-08-14,2.409
2013-08-15,2.377
2013-08-16,2.362
2013-08-19,2.382
2013-08-20,2.365
2013-08-21,2.366
2013-08-22,2.359
2013-08-23,2.344
2013-08-26,2.394
2013-08-27,2.395
2013-08-28,2.385
2013-08-29,2.374
2013-08-30,2.368
2013-09-02,2.376
2013-09-03,2.41
2013-09-04,2.409
2013-09-05,2.401
2013-09-06,2.393
2013-09-09,2.48
2013-09-10,2.51
2013-09-11,2.526
2013-09-12,2.545
2013-09-13,2.533
2013-09-16,2.52
2013-09-17,2.471
2013-09-18,2.473
2013-09-23,2.508
2013-09-24,2.487
2013-09-25,2.468
2013-09-26,2.428
2013-09-27,2.436
2013-09-30,2.445
2013-10-08,2.482
2013-10-09,2.49
2013-10-10,2.471
2013-10-11,2.507
