DATETIME,price
2017-12-01,0.893
2017-12-04,0.882
2017-12-05,0.875
2017-12-06,0.877
2017-12-07,0.878
2017-12-08,0.887
2017-12-11,0.893
2017-12-12,0.884
2017-12-13,0.887
2017-12-14,0.888
2017-12-15,0.889
2017-12-18,0.886
2017-12-19,0.89
2017-12-20,0.885
2017-12-21,0.89
2017-12-22,0.894
2017-12-25,0.895
2017-12-26,0.898
2017-12-27,0.903
2017-12-28,0.907
2017-12-29,0.904
2018-01-02,0.906
2018-01-03,0.914
2018-01-04,0.915
2018-01-05,0.918
2018-01-08,0.921
2018-01-09,0.925
2018-01-10,0.935
2018-01-11,0.938
2018-01-12,0.943
2018-01-15,0.925
2018-01-16,0.927
2018-01-17,0.936
2018-01-18,0.932
2018-01-19,0.932
2018-01-22,0.933
2018-01-23,0.935
2018-01-24,0.934
2018-01-25,0.937
2018-01-26,0.933
2018-01-29,0.928
2018-01-30,0.92
2018-01-31,0.91
2018-02-01,0.897
2018-02-02,0.899
2018-02-05,0.897
2018-02-06,0.889
2018-02-07,0.885
2018-02-08,0.886
2018-02-09,0.86
2018-02-12,0.867
2018-02-13,0.864
2018-02-14,0.864
2018-02-22,0.873
2018-02-23,0.879
2018-02-26,0.888
2018-02-27,0.888
2018-02-28,0.884
2018-03-01,0.886
2018-03-02,0.882
2018-03-05,0.878
2018-03-06,0.887
2018-03-07,0.897
2018-03-08,0.894
2018-03-09,0.9
2018-03-12,0.912
2018-03-13,0.912
2018-03-14,0.913
2018-03-15,0.91
2018-03-16,0.913
2018-03-19,0.91
2018-03-20,0.905
2018-03-21,0.911
2018-03-22,0.905
2018-03-23,0.889
2018-03-26,0.886
2018-03-27,0.889
2018-03-28,0.881
2018-03-29,0.884
2018-03-30,0.892
2018-04-02,0.894
2018-04-04,0.894
2018-04-09,0.886
2018-04-10,0.887
2018-04-11,0.892
2018-04-12,0.892
2018-04-13,0.893
2018-04-16,0.886
2018-04-17,0.885
2018-04-18,0.885
2018-04-19,0.884
2018-04-20,0.871
2018-04-23,0.865
2018-04-24,0.872
2018-04-25,0.868
2018-04-26,0.865
2018-04-27,0.865
2018-05-02,0.871
2018-05-03,0.879
2018-05-04,0.877
2018-05-07,0.886
2018-05-08,0.894
2018-05-09,0.891
2018-05-10,0.893
2018-05-11,0.893
2018-05-14,0.895
2018-05-15,0.898
2018-05-16,0.905
2018-05-17,0.898
2018-05-18,0.906
2018-05-21,0.908
2018-05-22,0.912
2018-05-23,0.912
2018-05-24,0.902
2018-05-25,0.895
2018-05-28,0.893
2018-05-29,0.896
2018-05-30,0.878
2018-05-31,0.887
2018-06-01,0.888
2018-06-04,0.886
2018-06-05,0.888
2018-06-06,0.894
2018-06-07,0.9
2018-06-08,0.889
2018-06-11,0.892
2018-06-12,0.887
2018-06-13,0.882
2018-06-14,0.88
2018-06-15,0.872
2018-06-19,0.826
2018-06-20,0.829
2018-06-21,0.818
2018-06-22,0.82
2018-06-25,0.825
2018-06-26,0.827
2018-06-27,0.825
2018-06-28,0.812
2018-06-29,0.831
2018-07-02,0.824
2018-07-03,0.83
2018-07-04,0.831
2018-07-05,0.827
2018-07-06,0.826
2018-07-09,0.847
2018-07-10,0.832
2018-07-11,0.825
2018-07-12,0.856
2018-07-13,0.864
2018-07-16,0.864
2018-07-17,0.862
2018-07-18,0.854
2018-07-19,0.854
2018-07-20,0.862
2018-07-23,0.862
2018-07-24,0.868
2018-07-25,0.861
2018-07-26,0.857
2018-07-27,0.857
2018-07-30,0.842
2018-08-01,0.834
2018-08-02,0.817
2018-08-06,0.8
2018-08-07,0.807
2018-08-08,0.8
2018-08-09,0.822
2018-08-10,0.82
2018-08-13,0.822
2018-08-15,0.81
2018-08-16,0.813
2018-08-17,0.8
2018-08-20,0.79
2018-08-21,0.804
2018-08-22,0.786
2018-08-23,0.795
2018-08-24,0.798
2018-08-27,0.824
2018-08-28,0.822
2018-08-29,0.823
2018-08-30,0.814
2018-08-31,0.814
2018-09-03,0.814
2018-09-04,0.824
2018-09-05,0.827
2018-09-06,0.821
2018-09-07,0.83
2018-09-10,0.806
2018-09-11,0.806
2018-09-12,0.802
2018-09-13,0.797
2018-09-14,0.808
2018-09-17,0.8
2018-09-18,0.8
2018-09-19,0.816
2018-09-20,0.815
2018-09-21,0.825
2018-09-25,0.825
2018-09-26,0.835
2018-09-28,0.825
2018-10-08,0.791
2018-10-09,0.79
2018-10-10,0.777
2018-10-11,0.75
2018-10-12,0.735
2018-10-15,0.758
2018-10-16,0.754
2018-10-17,0.75
2018-10-18,0.739
2018-10-19,0.775
