DATETIME,price
2018-04-23,0.886
2018-04-24,0.907
2018-04-25,0.893
2018-04-26,0.874
2018-04-27,0.864
2018-05-02,0.865
2018-05-03,0.871
2018-05-04,0.871
2018-05-07,0.885
2018-05-08,0.892
2018-05-09,0.892
2018-05-10,0.894
2018-05-11,0.893
2018-05-14,0.906
2018-05-15,0.909
2018-05-16,0.911
2018-05-17,0.907
2018-05-18,0.913
2018-05-21,0.927
2018-05-22,0.924
2018-05-23,0.91
2018-05-24,0.904
2018-05-25,0.901
2018-05-28,0.903
2018-05-29,0.897
2018-05-30,0.886
2018-05-31,0.9
2018-06-01,0.897
2018-06-04,0.901
2018-06-05,0.909
2018-06-06,0.904
2018-06-07,0.902
2018-06-08,0.896
2018-06-11,0.892
2018-06-12,0.902
2018-06-13,0.895
2018-06-14,0.893
2018-06-15,0.889
2018-06-19,0.854
2018-06-20,0.861
2018-06-21,0.854
2018-06-22,0.859
2018-06-25,0.855
2018-06-26,0.855
2018-06-27,0.845
2018-06-28,0.838
2018-06-29,0.856
2018-07-02,0.839
2018-07-03,0.844
2018-07-04,0.836
2018-07-05,0.829
2018-07-06,0.831
2018-07-09,0.843
2018-07-10,0.841
2018-07-11,0.828
2018-07-12,0.843
2018-07-13,0.845
2018-07-16,0.845
2018-07-17,0.845
2018-07-18,0.843
2018-07-19,0.844
2018-07-20,0.857
2018-07-23,0.855
2018-07-24,0.863
2018-07-25,0.862
2018-07-26,0.855
2018-07-27,0.853
2018-07-30,0.844
2018-07-31,0.846
2018-08-01,0.837
2018-08-02,0.826
2018-08-03,0.82
2018-08-06,0.812
2018-08-07,0.826
2018-08-08,0.82
2018-08-09,0.835
2018-08-10,0.836
2018-08-13,0.838
2018-08-14,0.841
2018-08-15,0.831
2018-08-16,0.826
2018-08-17,0.817
2018-08-20,0.822
2018-08-21,0.831
2018-08-22,0.827
2018-08-23,0.83
2018-08-24,0.832
2018-08-27,0.844
2018-08-28,0.843
2018-08-29,0.839
2018-08-30,0.835
2018-08-31,0.83
2018-09-03,0.828
2018-09-04,0.835
2018-09-05,0.828
2018-09-06,0.826
2018-09-07,0.827
2018-09-10,0.819
2018-09-11,0.816
2018-09-12,0.814
2018-09-13,0.818
2018-09-14,0.816
2018-09-17,0.811
2018-09-18,0.818
2018-09-19,0.822
2018-09-20,0.823
2018-09-21,0.834
2018-09-25,0.829
2018-09-26,0.833
2018-09-27,0.826
2018-09-28,0.834
2018-10-08,0.811
2018-10-09,0.813
2018-10-10,0.812
2018-10-11,0.772
2018-10-12,0.789
2018-10-15,0.786
2018-10-16,0.784
2018-10-17,0.791
2018-10-18,0.783
2018-10-19,0.799
2018-10-22,0.826
2018-10-23,0.814
2018-10-24,0.808
2018-10-25,0.811
2018-10-26,0.802
2018-10-29,0.779
2018-10-30,0.782
2018-10-31,0.79
2018-11-01,0.796
2018-11-02,0.815
