DATETIME,price
2012-05-02,0.994
2012-05-03,0.994
2012-05-04,0.99
2012-05-07,0.988
2012-05-08,0.974
2012-05-09,0.974
2012-05-10,0.973
2012-05-11,0.973
2012-05-14,0.964
2012-05-15,0.964
2012-05-16,0.956
2012-05-17,0.958
2012-05-18,0.949
2012-05-21,0.95
2012-05-22,0.953
2012-05-23,0.95
2012-05-24,0.95
2012-05-25,0.95
2012-05-28,0.956
2012-05-29,0.958
2012-05-30,0.953
2012-05-31,0.946
2012-06-01,0.94
2012-06-04,0.931
2012-06-05,0.928
2012-06-06,0.94
2012-06-07,0.936
2012-06-08,0.938
2012-06-11,0.953
2012-06-12,0.937
2012-06-13,0.942
2012-06-14,0.942
2012-06-15,0.946
2012-06-18,0.963
2012-06-19,0.95
2012-06-20,0.962
2012-06-21,0.952
2012-06-25,0.947
2012-06-26,0.941
2012-06-27,0.932
2012-06-29,0.936
2012-07-02,0.971
2012-07-03,0.966
2012-07-04,0.996
2012-07-05,0.98
2012-07-06,0.981
2012-07-09,0.979
2012-07-10,0.99
2012-07-12,0.973
2012-07-13,0.969
2012-07-16,0.964
2012-07-17,0.969
2012-07-18,0.985
2012-07-19,0.993
2012-07-20,0.998
2012-07-23,0.996
2012-07-24,0.98
2012-07-25,0.976
2012-07-26,0.98
2012-07-27,0.981
2012-07-30,0.997
2012-07-31,1.006
2012-08-01,0.995
2012-08-02,1.002
2012-08-03,0.992
2012-08-06,1.012
2012-08-07,1.018
2012-08-08,1.031
2012-08-09,1.044
2012-08-10,1.047
2012-08-13,1.051
2012-08-14,1.053
2012-08-15,1.055
2012-08-16,1.072
2012-08-17,1.09
2012-08-20,1.08
2012-08-21,1.08
2012-08-22,1.099
2012-08-23,1.141
2012-08-24,1.23
2012-08-27,1.212
2012-08-28,1.14
2012-08-29,1.026
2012-08-30,1.005
2012-08-31,1.014
2012-09-03,1.007
2012-09-04,1.02
2012-09-05,1.021
2012-09-06,1.005
2012-09-07,1.007
2012-09-10,1.013
2012-09-11,1.025
2012-09-12,1.031
2012-09-13,1.035
2012-09-14,1.089
2012-09-17,1.069
2012-09-18,1.078
2012-09-19,1.082
2012-09-20,1.081
2012-09-21,1.076
2012-09-24,1.049
2012-09-25,1.048
2012-09-26,1.059
2012-09-27,1.047
2012-09-28,1.057
2012-10-08,1.04
2012-10-09,1.045
2012-10-10,1.048
2012-10-11,1.049
2012-10-12,1.048
2012-10-15,1.04
2012-10-16,1.057
2012-10-17,1.049
2012-10-18,1.05
2012-10-19,1.047
2012-10-22,1.047
2012-10-23,1.036
2012-10-24,1.035
2012-10-25,1.024
2012-10-26,1.012
2012-10-29,1.027
2012-10-30,1.017
2012-11-01,1.02
2012-11-02,1.022
2012-11-05,1.02
2012-11-06,1.007
2012-11-07,1.019
2012-11-08,1.019
2012-11-09,1.021
2012-11-12,1.011
2012-11-13,1.018
2012-11-14,1.049
2012-11-15,1.028
2012-11-16,1.0
2012-11-19,1.016
2012-11-20,1.01
2012-11-21,1.01
2012-11-22,0.998
2012-11-23,0.993
2012-11-26,0.999
2012-11-27,0.995
2012-11-28,0.999
2012-11-29,0.979
2012-11-30,0.993
2012-12-03,0.999
2012-12-04,0.996
2012-12-05,0.996
2012-12-06,0.98
2012-12-07,0.978
2012-12-10,0.988
2012-12-11,0.976
2012-12-12,0.993
2012-12-13,0.994
2012-12-14,0.998
2012-12-17,0.997
2012-12-18,0.985
2012-12-19,0.998
2012-12-20,1.0
2012-12-21,0.999
2012-12-24,0.99
2012-12-25,0.994
2012-12-26,0.997
2012-12-27,0.999
2012-12-28,0.991
2012-12-31,0.99
2013-01-04,1.005
2013-01-07,1.003
2013-01-08,1.02
2013-01-09,1.011
2013-01-10,1.011
2013-01-11,1.018
2013-01-14,1.02
2013-01-15,1.022
2013-01-16,1.015
2013-01-17,1.022
2013-01-18,1.027
2013-01-21,1.022
2013-01-22,1.036
2013-01-23,1.032
2013-01-24,1.033
2013-01-25,1.039
2013-01-28,1.037
2013-01-29,1.048
2013-01-30,1.06
2013-01-31,1.055
2013-02-01,1.051
2013-02-04,1.041
2013-02-05,1.033
2013-02-06,1.038
2013-02-07,1.048
2013-02-08,1.045
2013-02-18,1.045
2013-02-19,1.027
2013-02-21,1.026
2013-02-22,1.018
2013-02-25,1.016
2013-02-26,1.006
2013-02-27,1.006
2013-02-28,0.995
2013-03-04,0.995
2013-03-06,1.0
2013-03-07,1.04
2013-03-08,1.034
2013-03-11,1.032
2013-03-12,1.015
2013-03-13,1.016
2013-03-14,1.025
2013-03-15,1.03
2013-03-18,1.022
2013-03-19,1.026
2013-03-20,1.025
2013-03-22,1.028
2013-03-25,1.03
2013-03-26,1.003
2013-03-27,1.019
2013-03-28,1.018
2013-03-29,1.029
2013-04-01,1.018
2013-04-02,1.034
2013-04-03,1.033
2013-04-08,1.032
2013-04-09,1.011
2013-04-12,1.035
2013-04-15,1.01
2013-04-16,1.026
2013-04-18,0.936
2013-04-19,1.009
2013-04-22,1.02
2013-04-25,0.971
2013-04-26,1.025
2013-05-02,0.954
2013-05-06,1.021
2013-05-07,0.979
2013-05-08,1.016
2013-05-09,1.02
2013-05-10,1.022
2013-05-13,1.026
2013-05-14,1.029
2013-05-15,1.019
2013-05-20,1.035
2013-05-21,1.021
2013-05-22,1.029
2013-05-28,1.012
2013-05-31,1.015
2013-06-05,1.001
2013-06-06,1.003
2013-06-13,1.0
2013-06-14,1.0
2013-06-18,0.995
2013-06-19,0.995
2013-06-20,0.998
2013-06-25,1.0
2013-06-26,0.998
2013-06-27,0.997
2013-06-28,1.089
2013-07-02,1.089
2013-07-03,1.062
2013-07-04,0.966
2013-07-05,1.036
2013-07-08,0.978
2013-07-09,0.968
2013-07-10,1.037
2013-07-11,1.03
2013-07-12,1.028
2013-07-15,1.029
2013-07-16,1.01
2013-07-17,1.044
2013-07-19,1.03
2013-07-22,1.038
2013-07-23,1.041
2013-07-24,1.045
2013-07-25,1.02
2013-07-26,1.045
2013-07-30,1.045
2013-07-31,1.053
2013-08-02,1.064
2013-08-05,1.077
2013-08-08,1.061
2013-08-12,0.992
2013-08-13,1.059
2013-08-14,1.05
2013-08-15,1.022
2013-08-16,1.058
2013-08-19,1.016
2013-08-20,1.038
2013-08-21,1.002
2013-08-22,1.015
2013-08-23,1.043
2013-08-27,1.001
2013-08-28,1.036
2013-08-29,1.049
2013-09-02,1.006
2013-09-03,1.02
2013-09-04,1.05
2013-09-05,1.047
2013-09-06,1.035
2013-09-11,1.022
2013-09-12,1.026
2013-09-13,1.049
2013-09-18,1.03
2013-09-23,1.044
2013-09-24,1.041
2013-09-25,1.026
2013-09-26,1.03
2013-09-27,1.033
2013-09-30,1.042
2013-10-09,1.03
2013-10-11,1.021
2013-10-14,1.032
2013-10-15,1.038
2013-10-16,1.04
2013-10-17,1.047
2013-10-21,1.049
2013-10-22,1.056
2013-10-24,1.049
2013-10-25,1.048
2013-10-29,1.069
2013-10-30,1.074
2013-10-31,1.061
2013-11-01,1.071
2013-11-04,1.073
2013-11-05,1.071
2013-11-11,1.065
2013-11-15,1.066
2013-11-19,1.075
2013-11-26,1.083
2013-11-27,1.083
2013-11-28,1.075
2013-12-02,1.024
2013-12-04,1.048
2013-12-10,1.083
2013-12-12,1.031
2013-12-13,1.033
2013-12-16,1.03
2013-12-17,1.032
2013-12-24,1.055
2013-12-30,1.07
2014-01-08,1.051
2014-01-21,1.1
2014-02-11,1.05
2014-02-12,1.09
2014-02-14,1.051
2014-02-21,1.05
2014-02-24,1.051
2014-03-21,1.1
2014-04-01,1.074
2014-04-02,1.073
2014-04-03,1.077
2014-04-04,1.078
2014-04-08,1.086
2014-04-09,1.1
2014-04-11,1.1
2014-04-14,1.122
2014-04-15,1.092
2014-04-16,1.109
2014-04-17,1.106
2014-04-21,1.113
2014-04-22,1.117
2014-04-25,1.22
2014-04-28,1.121
2014-04-29,1.105
2014-05-07,1.14
2014-05-08,1.2
2014-05-13,1.199
2014-05-14,1.2
2014-05-15,1.141
2014-05-16,1.141
2014-05-22,1.15
2014-05-23,1.215
2014-05-26,1.309
2014-05-28,1.19
2014-05-30,1.165
2014-06-03,1.2
2014-06-04,1.15
2014-06-09,1.15
2014-06-11,1.151
2014-06-12,1.152
2014-06-16,1.163
2014-06-18,1.168
2014-06-19,1.169
2014-06-20,1.241
2014-06-23,1.21
2014-06-25,1.259
2014-06-26,1.167
2014-06-30,1.18
2014-07-01,1.182
2014-07-02,1.198
2014-07-07,1.199
2014-07-08,1.199
2014-07-16,1.21
2014-07-18,1.258
2014-07-22,1.22
2014-07-23,1.22
