DATETIME,price
2006-02-16,1.071
2006-02-17,1.075
2006-02-20,1.035
2006-02-21,1.04
2006-02-22,1.043
2006-02-23,1.046
2006-02-24,1.049
2006-02-27,1.062
2006-02-28,1.07
2006-03-01,1.086
2006-03-02,1.073
2006-03-03,1.089
2006-03-06,1.092
2006-03-07,1.081
2006-03-08,1.08
2006-03-09,1.074
2006-03-10,1.076
2006-03-13,1.084
2006-03-14,1.085
2006-03-15,1.095
2006-03-16,1.095
2006-03-17,1.092
2006-03-20,1.1
2006-03-21,1.1
2006-03-22,1.105
2006-03-23,1.113
2006-03-24,1.109
2006-03-27,1.085
2006-03-28,1.09
2006-03-29,1.126
2006-03-30,1.13
2006-03-31,1.148
2006-04-03,1.168
2006-04-04,1.18
2006-04-05,1.199
2006-04-06,1.2
2006-04-07,1.202
2006-04-10,1.22
2006-04-11,1.225
2006-04-12,1.223
2006-04-13,1.152
2006-04-14,1.164
2006-04-17,1.155
2006-04-18,1.162
2006-04-19,1.181
2006-04-20,1.187
2006-04-21,1.211
2006-04-24,1.226
2006-04-25,1.26
2006-04-26,1.265
2006-04-27,1.266
2006-04-28,1.288
2006-05-08,1.336
2006-05-09,1.368
2006-05-10,1.385
2006-05-11,1.395
2006-05-12,1.418
2006-05-15,1.46
2006-05-16,1.435
2006-05-17,1.423
2006-05-18,1.396
2006-05-19,1.461
2006-05-22,1.442
2006-05-23,1.38
2006-05-24,1.385
2006-05-25,1.375
2006-05-26,1.398
2006-05-29,1.445
2006-05-30,1.481
2006-05-31,1.475
2006-06-01,1.512
2006-06-02,1.496
2006-06-05,1.49
2006-06-06,1.487
2006-06-07,1.4
2006-06-08,1.371
2006-06-09,1.375
2006-06-12,1.391
2006-06-13,1.402
2006-06-14,1.4
2006-06-15,1.396
2006-06-16,1.425
2006-06-19,1.459
2006-06-20,1.455
2006-06-21,1.45
2006-06-22,1.434
2006-06-23,1.457
2006-06-26,1.46
2006-06-27,1.468
2006-06-28,1.453
2006-06-29,1.482
2006-06-30,1.494
2006-07-03,1.513
2006-07-04,1.515
2006-07-05,1.497
2006-07-06,1.523
2006-07-07,1.518
2006-07-10,1.515
2006-07-11,1.52
2006-07-12,1.531
2006-07-13,1.483
2006-07-14,1.508
2006-07-17,1.5
2006-07-18,1.49
2006-07-19,1.439
2006-07-20,1.46
2006-07-21,1.467
2006-07-24,1.479
2006-07-25,1.51
2006-07-26,1.516
2006-07-27,1.5
2006-07-28,1.471
2006-07-31,1.437
2006-08-01,1.436
2006-08-02,1.414
2006-08-03,1.402
2006-08-04,1.375
2006-08-07,1.35
2006-08-08,1.39
2006-08-09,1.39
2006-08-10,1.41
2006-08-11,1.387
2006-08-14,1.385
2006-08-16,1.41
2006-08-17,1.393
2006-08-18,1.395
2006-08-21,1.382
2006-08-22,1.418
