DATETIME,price
2017-01-18,0.977
2017-01-19,0.989
2017-01-20,0.988
2017-01-23,0.988
2017-01-24,0.989
2017-01-25,1.001
2017-01-26,1.01
2017-02-03,1.007
2017-02-06,1.009
2017-02-07,1.018
2017-02-08,1.019
2017-02-09,1.03
2017-02-10,1.035
2017-02-13,1.042
2017-02-14,1.049
2017-02-15,1.058
2017-02-16,1.06
2017-02-17,1.065
2017-02-20,1.092
2017-02-21,1.077
2017-02-22,1.087
2017-02-23,1.088
2017-02-24,1.075
2017-02-27,1.06
2017-02-28,1.061
2017-03-01,1.064
2017-03-02,1.077
2017-03-03,1.064
2017-03-06,1.065
2017-03-07,1.061
2017-03-08,1.062
2017-03-09,1.071
2017-03-10,1.071
2017-03-13,1.071
2017-03-14,1.083
2017-03-15,1.08
2017-03-16,1.087
2017-03-17,1.096
2017-03-20,1.111
2017-03-21,1.12
2017-03-22,1.093
2017-03-23,1.085
2017-03-24,1.092
2017-03-27,1.085
2017-03-28,1.098
2017-03-29,1.102
2017-03-30,1.099
2017-03-31,1.107
2017-04-05,1.111
2017-04-06,1.102
2017-04-07,1.103
2017-04-10,1.109
2017-04-11,1.113
2017-04-12,1.11
2017-04-13,1.111
2017-04-14,1.107
2017-04-17,1.106
2017-04-18,1.109
2017-04-19,1.105
2017-04-20,1.111
2017-04-21,1.125
2017-04-24,1.141
2017-04-25,1.158
2017-04-26,1.186
2017-04-27,1.175
2017-04-28,1.181
2017-05-02,1.187
2017-05-03,1.187
2017-05-04,1.181
2017-05-05,1.167
2017-05-08,1.19
2017-05-09,1.227
2017-05-10,1.231
2017-05-11,1.233
2017-05-12,1.234
2017-05-15,1.269
2017-05-16,1.248
2017-05-17,1.273
2017-05-18,1.256
2017-05-19,1.249
2017-05-22,1.3
2017-05-23,1.338
2017-05-24,1.293
2017-05-25,1.288
2017-05-26,1.271
2017-05-31,1.246
2017-06-01,1.254
2017-06-02,1.252
2017-06-05,1.248
2017-06-06,1.266
2017-06-07,1.253
2017-06-08,1.275
2017-06-09,1.319
2017-06-12,1.281
2017-06-13,1.274
2017-06-14,1.261
2017-06-15,1.24
2017-06-16,1.238
2017-06-19,1.247
2017-06-20,1.274
2017-06-21,1.26
2017-06-22,1.281
2017-06-23,1.288
2017-06-26,1.303
2017-06-27,1.309
2017-06-28,1.296
2017-06-29,1.302
2017-06-30,1.284
2017-07-03,1.27
2017-07-04,1.248
2017-07-05,1.261
2017-07-06,1.271
2017-07-07,1.266
2017-07-10,1.261
2017-07-11,1.287
2017-07-12,1.294
2017-07-13,1.322
2017-07-14,1.316
2017-07-17,1.33
2017-07-18,1.322
2017-07-19,1.363
2017-07-20,1.347
2017-07-21,1.356
2017-07-24,1.36
2017-07-25,1.372
2017-07-26,1.371
2017-07-27,1.41
2017-07-28,1.405
2017-07-31,1.455
2017-08-01,1.46
2017-08-02,1.448
2017-08-03,1.407
2017-08-04,1.412
2017-08-07,1.431
2017-08-08,1.459
2017-08-09,1.449
2017-08-10,1.441
2017-08-11,1.39
2017-08-14,1.431
2017-08-15,1.4
2017-08-16,1.402
2017-08-17,1.415
2017-08-18,1.393
2017-08-21,1.399
2017-08-22,1.424
2017-08-23,1.431
2017-08-24,1.43
2017-08-25,1.431
2017-08-28,1.405
2017-08-29,1.385
2017-08-30,1.398
2017-08-31,1.409
2017-09-01,1.407
2017-09-04,1.393
2017-09-05,1.394
2017-09-06,1.394
2017-09-07,1.382
2017-09-08,1.395
2017-09-11,1.408
2017-09-12,1.423
2017-09-13,1.427
2017-09-14,1.447
2017-09-15,1.45
2017-09-18,1.471
2017-09-19,1.5
2017-09-20,1.499
2017-09-21,1.48
2017-09-22,1.476
2017-09-25,1.467
2017-09-26,1.441
2017-09-27,1.439
2017-09-28,1.447
2017-09-29,1.454
2017-10-09,1.478
2017-10-10,1.489
2017-10-11,1.52
2017-10-12,1.534
2017-10-13,1.505
2017-10-16,1.516
2017-10-17,1.534
2017-10-18,1.526
2017-10-19,1.53
2017-10-20,1.519
2017-10-23,1.499
2017-10-24,1.485
2017-10-25,1.495
2017-10-26,1.467
2017-10-27,1.446
2017-10-30,1.458
2017-10-31,1.456
2017-11-01,1.479
2017-11-02,1.489
2017-11-03,1.486
2017-11-06,1.486
2017-11-07,1.512
2017-11-08,1.51
2017-11-09,1.509
2017-11-10,1.506
2017-11-13,1.503
2017-11-14,1.511
2017-11-15,1.482
2017-11-16,1.488
2017-11-17,1.521
2017-11-20,1.539
2017-11-21,1.568
2017-11-22,1.576
2017-11-23,1.57
2017-11-24,1.576
2017-11-27,1.586
2017-11-28,1.549
2017-11-29,1.547
2017-11-30,1.516
2017-12-01,1.492
2017-12-04,1.496
2017-12-05,1.453
2017-12-06,1.426
2017-12-07,1.454
2017-12-08,1.481
2017-12-11,1.488
2017-12-12,1.481
2017-12-13,1.484
2017-12-14,1.494
2017-12-15,1.47
2017-12-18,1.486
2017-12-19,1.521
2017-12-20,1.512
2017-12-21,1.513
2017-12-22,1.526
2017-12-25,1.523
2017-12-26,1.519
2017-12-27,1.499
2017-12-28,1.507
2017-12-29,1.495
2018-01-02,1.507
2018-01-03,1.539
2018-01-04,1.56
2018-01-05,1.552
2018-01-08,1.589
2018-01-09,1.608
2018-01-10,1.616
2018-01-11,1.591
2018-01-12,1.608
2018-01-15,1.6
2018-01-16,1.611
2018-01-17,1.59
2018-01-18,1.601
2018-01-19,1.589
2018-01-22,1.595
2018-01-23,1.608
2018-01-24,1.625
2018-01-25,1.63
2018-01-26,1.641
2018-01-29,1.653
2018-01-30,1.63
2018-01-31,1.611
2018-02-01,1.624
2018-02-02,1.606
2018-02-05,1.547
2018-02-06,1.445
2018-02-07,1.458
2018-02-08,1.443
2018-02-09,1.378
2018-02-12,1.426
2018-02-13,1.44
2018-02-14,1.484
2018-02-22,1.547
2018-02-23,1.557
2018-02-26,1.582
2018-02-27,1.571
2018-02-28,1.532
2018-03-01,1.55
2018-03-02,1.525
2018-03-05,1.52
2018-03-06,1.549
2018-03-07,1.522
2018-03-08,1.559
2018-03-09,1.572
2018-03-12,1.597
2018-03-13,1.599
2018-03-14,1.568
2018-03-15,1.589
2018-03-16,1.609
2018-03-19,1.611
2018-03-20,1.601
2018-03-21,1.592
2018-03-22,1.564
2018-03-23,1.485
2018-03-26,1.5
2018-03-27,1.515
2018-03-28,1.467
2018-03-29,1.452
2018-03-30,1.451
2018-04-02,1.451
2018-04-03,1.424
2018-04-04,1.405
2018-04-09,1.414
2018-04-10,1.446
2018-04-11,1.437
2018-04-12,1.426
2018-04-13,1.428
2018-04-16,1.403
2018-04-17,1.39
2018-04-18,1.415
2018-04-19,1.424
2018-04-20,1.407
2018-04-23,1.404
2018-04-24,1.409
2018-04-25,1.383
2018-04-26,1.357
2018-04-27,1.398
2018-05-02,1.422
2018-05-03,1.42
2018-05-04,1.417
2018-05-07,1.429
2018-05-08,1.457
2018-05-09,1.468
2018-05-10,1.477
2018-05-11,1.492
2018-05-14,1.489
2018-05-15,1.491
2018-05-16,1.475
2018-05-17,1.502
2018-05-18,1.498
2018-05-21,1.493
2018-05-22,1.457
2018-05-23,1.452
2018-05-24,1.456
