DATETIME,price
2005-02-23,0.876
2005-02-24,0.876
2005-02-25,0.88
2005-02-28,0.872
2005-03-01,0.867
2005-03-02,0.859
2005-03-03,0.859
2005-03-04,0.86
2005-03-07,0.862
2005-03-08,0.874
2005-03-09,0.873
2005-03-10,0.853
2005-03-11,0.855
2005-03-14,0.857
2005-03-15,0.843
2005-03-16,0.834
2005-03-17,0.828
2005-03-18,0.824
2005-03-21,0.824
2005-03-22,0.808
2005-03-23,0.804
2005-03-24,0.806
2005-03-25,0.805
2005-03-28,0.802
2005-03-29,0.805
2005-03-30,0.793
2005-03-31,0.794
2005-04-01,0.829
2005-04-04,0.81
2005-04-05,0.805
2005-04-06,0.818
2005-04-07,0.824
2005-04-08,0.836
2005-04-11,0.83
2005-04-12,0.821
2005-04-13,0.84
2005-04-14,0.828
2005-04-15,0.818
2005-04-18,0.808
2005-04-19,0.811
2005-04-20,0.797
2005-04-21,0.797
2005-04-22,0.798
2005-04-25,0.79
2005-04-26,0.793
2005-04-27,0.788
2005-04-28,0.797
2005-04-29,0.788
2005-05-09,0.78
2005-05-10,0.783
2005-05-11,0.777
2005-05-12,0.76
2005-05-13,0.762
2005-05-16,0.75
2005-05-17,0.754
2005-05-18,0.755
2005-05-19,0.755
2005-05-20,0.757
2005-05-23,0.743
2005-05-24,0.741
2005-05-25,0.743
2005-05-26,0.736
2005-05-27,0.73
2005-05-30,0.736
2005-05-31,0.738
2005-06-01,0.726
2005-06-02,0.707
2005-06-03,0.705
2005-06-06,0.72
2005-06-07,0.72
2005-06-08,0.781
2005-06-09,0.789
2005-06-10,0.775
2005-06-13,0.774
2005-06-14,0.768
2005-06-15,0.755
2005-06-16,0.766
2005-06-17,0.772
2005-06-20,0.804
2005-06-21,0.794
2005-06-22,0.798
2005-06-23,0.794
2005-06-24,0.794
2005-06-27,0.808
2005-06-28,0.802
2005-06-29,0.791
2005-06-30,0.769
2005-07-01,0.767
2005-07-04,0.761
2005-07-05,0.754
2005-07-06,0.75
2005-07-07,0.75
2005-07-08,0.743
2005-07-11,0.741
2005-07-12,0.772
2005-07-13,0.765
2005-07-14,0.768
2005-07-15,0.766
2005-07-18,0.764
2005-07-19,0.763
2005-07-20,0.772
2005-07-21,0.775
2005-07-22,0.787
2005-07-25,0.784
2005-07-26,0.796
2005-07-27,0.803
2005-07-28,0.799
2005-07-29,0.797
2005-08-01,0.798
2005-08-02,0.805
2005-08-03,0.807
2005-08-04,0.805
2005-08-05,0.827
2005-08-08,0.828
2005-08-09,0.829
2005-08-10,0.83
2005-08-11,0.84
2005-08-12,0.836
2005-08-15,0.854
2005-08-16,0.839
2005-08-17,0.85
2005-08-18,0.824
2005-08-19,0.83
2005-08-22,0.836
2005-08-23,0.83
2005-08-24,0.84
2005-08-25,0.84
2005-08-26,0.84
2005-08-29,0.83
2005-08-30,0.826
2005-08-31,0.835
2005-09-01,0.844
2005-09-02,0.845
2005-09-05,0.845
2005-09-06,0.834
2005-09-07,0.839
2005-09-08,0.841
2005-09-09,0.841
2005-09-12,0.84
2005-09-13,0.845
2005-09-14,0.85
2005-09-15,0.848
2005-09-16,0.846
2005-09-19,0.845
2005-09-20,0.839
2005-09-21,0.83
2005-09-22,0.813
2005-09-23,0.808
2005-09-26,0.812
2005-09-27,0.8
2005-09-28,0.802
2005-09-29,0.809
2005-09-30,0.808
2005-10-10,0.799
2005-10-11,0.807
2005-10-12,0.806
2005-10-13,0.799
2005-10-14,0.784
2005-10-17,0.781
2005-10-18,0.782
2005-10-19,0.781
2005-10-20,0.79
2005-10-21,0.789
2005-10-24,0.787
2005-10-25,0.78
2005-10-26,0.763
2005-10-27,0.765
2005-10-28,0.76
2005-10-31,0.77
2005-11-01,0.767
2005-11-02,0.773
2005-11-03,0.766
2005-11-04,0.77
2005-11-07,0.766
2005-11-08,0.772
2005-11-09,0.766
2005-11-10,0.755
2005-11-11,0.756
2005-11-14,0.752
2005-11-15,0.752
2005-11-16,0.755
2005-11-17,0.757
2005-11-18,0.774
2005-11-21,0.775
2005-11-22,0.761
2005-11-23,0.766
2005-11-24,0.776
2005-11-25,0.783
2005-11-28,0.778
2005-11-29,0.77
2005-11-30,0.774
2005-12-01,0.773
2005-12-02,0.772
2005-12-05,0.766
2005-12-06,0.775
2005-12-07,0.781
2005-12-08,0.779
2005-12-09,0.792
2005-12-12,0.79
2005-12-13,0.788
2005-12-14,0.794
2005-12-15,0.794
2005-12-16,0.798
2005-12-19,0.798
2005-12-20,0.801
2005-12-21,0.802
2005-12-22,0.805
2005-12-23,0.81
2005-12-26,0.813
2005-12-27,0.809
2005-12-28,0.809
2005-12-29,0.817
2005-12-30,0.812
2006-01-04,0.829
2006-01-05,0.848
2006-01-06,0.854
2006-01-09,0.858
2006-01-10,0.855
2006-01-11,0.848
2006-01-12,0.854
2006-01-13,0.846
2006-01-16,0.833
2006-01-17,0.839
2006-01-18,0.856
2006-01-19,0.858
2006-01-20,0.856
2006-01-23,0.86
2006-01-24,0.854
2006-01-25,0.863
2006-02-06,0.878
2006-02-07,0.873
2006-02-08,0.877
2006-02-09,0.865
2006-02-10,0.879
2006-02-13,0.876
2006-02-14,0.877
2006-02-15,0.885
2006-02-16,0.875
2006-02-17,0.875
2006-02-20,0.872
2006-02-21,0.887
2006-02-22,0.882
2006-02-23,0.89
2006-02-24,0.898
2006-02-27,0.901
2006-02-28,0.911
2006-03-01,0.919
2006-03-02,0.901
2006-03-03,0.902
2006-03-06,0.897
2006-03-07,0.881
2006-03-08,0.877
2006-03-09,0.872
2006-03-10,0.874
2006-03-13,0.882
2006-03-14,0.878
2006-03-15,0.885
2006-03-16,0.882
2006-03-17,0.881
2006-03-20,0.891
2006-03-21,0.892
2006-03-22,0.897
2006-03-23,0.894
2006-03-24,0.895
2006-03-27,0.897
2006-03-28,0.904
2006-03-29,0.912
2006-03-30,0.906
2006-03-31,0.91
2006-04-03,0.92
2006-04-04,0.925
2006-04-05,0.932
2006-04-06,0.93
2006-04-07,0.919
2006-04-10,0.932
2006-04-11,0.936
2006-04-12,0.933
2006-04-13,0.92
2006-04-14,0.938
2006-04-17,0.947
2006-04-18,0.95
2006-04-19,0.952
2006-04-20,0.939
2006-04-21,0.962
2006-04-24,0.961
2006-04-25,0.942
2006-04-26,0.963
2006-04-27,0.964
2006-04-28,0.992
2006-05-08,1.026
2006-05-09,1.046
2006-05-10,1.052
2006-05-11,1.043
2006-05-12,1.08
2006-05-15,1.139
2006-05-16,1.104
2006-05-17,1.107
2006-05-18,1.105
2006-05-19,1.101
2006-05-22,1.1
2006-05-23,1.064
2006-05-24,1.066
2006-05-25,1.065
2006-05-26,1.09
2006-05-29,1.108
2006-05-30,1.114
2006-05-31,1.11
2006-06-01,1.138
2006-06-02,1.137
2006-06-05,1.124
2006-06-06,1.122
2006-06-07,1.073
2006-06-08,1.079
2006-06-09,1.061
2006-06-12,1.061
2006-06-13,1.058
2006-06-14,1.052
2006-06-15,1.053
2006-06-16,1.076
2006-06-19,1.083
2006-06-20,1.088
2006-06-21,1.087
2006-06-22,1.084
2006-06-23,1.092
2006-06-26,1.117
2006-06-27,1.117
2006-06-28,1.117
2006-06-29,1.138
2006-06-30,1.136
2006-07-03,1.161
2006-07-04,1.15
2006-07-05,1.123
2006-07-06,1.14
2006-07-07,1.128
2006-07-10,1.127
2006-07-11,1.13
2006-07-12,1.132
2006-07-13,1.085
2006-07-14,1.091
2006-07-17,1.097
2006-07-18,1.094
2006-07-19,1.07
2006-07-20,1.076
2006-07-21,1.088
2006-07-24,1.088
2006-07-25,1.1
2006-07-26,1.1
2006-07-27,1.092
2006-07-28,1.08
2006-07-31,1.052
2006-08-01,1.043
2006-08-02,1.035
2006-08-03,1.039
2006-08-04,1.024
2006-08-07,1.008
2006-08-08,1.024
2006-08-09,1.028
2006-08-10,1.042
2006-08-11,1.04
2006-08-14,1.026
2006-08-15,1.038
2006-08-16,1.048
2006-08-17,1.039
2006-08-18,1.042
2006-08-21,1.043
2006-08-22,1.052
2006-08-23,1.055
2006-08-24,1.06
2006-08-25,1.064
2006-08-28,1.085
2006-08-29,1.081
2006-08-30,1.078
2006-08-31,1.077
2006-09-01,1.064
2006-09-04,1.076
2006-09-05,1.081
2006-09-06,1.09
2006-09-07,1.078
2006-09-08,1.081
2006-09-11,1.087
2006-09-12,1.101
2006-09-13,1.104
2006-09-14,1.102
2006-09-15,1.13
2006-09-18,1.148
2006-09-19,1.133
2006-09-20,1.129
2006-09-21,1.144
2006-09-22,1.132
2006-09-25,1.127
2006-09-26,1.114
2006-09-27,1.125
2006-09-28,1.142
2006-09-29,1.156
2006-10-09,1.186
2006-10-10,1.191
2006-10-11,1.19
2006-10-12,1.187
2006-10-13,1.186
